,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
36,2015,12911.21,IP.JRN.ARTC.SC,AUT,Austria,Europe & Central Asia,High income,Not classified
37,2016,12792.84,IP.JRN.ARTC.SC,AUT,Austria,Europe & Central Asia,High income,Not classified
38,2017,12850.61,IP.JRN.ARTC.SC,AUT,Austria,Europe & Central Asia,High income,Not classified
39,2018,12362.28,IP.JRN.ARTC.SC,AUT,Austria,Europe & Central Asia,High income,Not classified
40,2015,451.68,IP.JRN.ARTC.SC,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
41,2016,593.56,IP.JRN.ARTC.SC,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
42,2017,736.71,IP.JRN.ARTC.SC,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
43,2018,761.43,IP.JRN.ARTC.SC,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
44,2015,12.77,IP.JRN.ARTC.SC,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
45,2016,12.91,IP.JRN.ARTC.SC,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
46,2017,20.4,IP.JRN.ARTC.SC,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
47,2018,19.77,IP.JRN.ARTC.SC,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
48,2015,180.26,IP.JRN.ARTC.SC,BHR,Bahrain,Middle East & North Africa,High income,Not classified
49,2016,220.98,IP.JRN.ARTC.SC,BHR,Bahrain,Middle East & North Africa,High income,Not classified
50,2017,259.34,IP.JRN.ARTC.SC,BHR,Bahrain,Middle East & North Africa,High income,Not classified
51,2018,321.51,IP.JRN.ARTC.SC,BHR,Bahrain,Middle East & North Africa,High income,Not classified
52,2015,2240.17,IP.JRN.ARTC.SC,BGD,Bangladesh,South Asia,Lower middle income,IDA
53,2016,2645.7,IP.JRN.ARTC.SC,BGD,Bangladesh,South Asia,Lower middle income,IDA
54,2017,2990.72,IP.JRN.ARTC.SC,BGD,Bangladesh,South Asia,Lower middle income,IDA
55,2018,3135.08,IP.JRN.ARTC.SC,BGD,Bangladesh,South Asia,Lower middle income,IDA
56,2015,54.96,IP.JRN.ARTC.SC,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
57,2016,53.46,IP.JRN.ARTC.SC,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
58,2017,48.84,IP.JRN.ARTC.SC,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
59,2018,37.97,IP.JRN.ARTC.SC,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
60,2015,976.31,IP.JRN.ARTC.SC,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
61,2016,1008.55,IP.JRN.ARTC.SC,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
62,2017,1064.9,IP.JRN.ARTC.SC,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
63,2018,1179.81,IP.JRN.ARTC.SC,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
64,2015,16724.04,IP.JRN.ARTC.SC,BEL,Belgium,Europe & Central Asia,High income,Not classified
65,2016,16763.94,IP.JRN.ARTC.SC,BEL,Belgium,Europe & Central Asia,High income,Not classified
66,2017,16278.27,IP.JRN.ARTC.SC,BEL,Belgium,Europe & Central Asia,High income,Not classified
67,2018,15688.13,IP.JRN.ARTC.SC,BEL,Belgium,Europe & Central Asia,High income,Not classified
68,2015,7.64,IP.JRN.ARTC.SC,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
69,2016,5.88,IP.JRN.ARTC.SC,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
70,2017,11.38,IP.JRN.ARTC.SC,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
71,2018,9.11,IP.JRN.ARTC.SC,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
72,2015,187.97,IP.JRN.ARTC.SC,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
73,2016,175.83,IP.JRN.ARTC.SC,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
74,2017,209.42,IP.JRN.ARTC.SC,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
75,2018,227.74,IP.JRN.ARTC.SC,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
76,2015,25.18,IP.JRN.ARTC.SC,BTN,Bhutan,South Asia,Lower middle income,IDA
77,2016,42.02,IP.JRN.ARTC.SC,BTN,Bhutan,South Asia,Lower middle income,IDA
78,2017,44.3,IP.JRN.ARTC.SC,BTN,Bhutan,South Asia,Lower middle income,IDA
79,2018,52.64,IP.JRN.ARTC.SC,BTN,Bhutan,South Asia,Lower middle income,IDA
80,2015,86.82,IP.JRN.ARTC.SC,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
81,2016,92.4,IP.JRN.ARTC.SC,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
82,2017,88.05,IP.JRN.ARTC.SC,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
83,2018,102.8,IP.JRN.ARTC.SC,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
84,2015,568.22,IP.JRN.ARTC.SC,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
85,2016,568.38,IP.JRN.ARTC.SC,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
86,2017,724.8,IP.JRN.ARTC.SC,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
87,2018,703.79,IP.JRN.ARTC.SC,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
88,2015,160.83,IP.JRN.ARTC.SC,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
89,2016,252.46,IP.JRN.ARTC.SC,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
90,2017,234.51,IP.JRN.ARTC.SC,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
91,2018,280.57,IP.JRN.ARTC.SC,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
92,2015,53064.56,IP.JRN.ARTC.SC,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
93,2016,55181.31,IP.JRN.ARTC.SC,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
94,2017,58022.38,IP.JRN.ARTC.SC,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
95,2018,60147.96,IP.JRN.ARTC.SC,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
96,2015,177.77,IP.JRN.ARTC.SC,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
97,2016,230.04,IP.JRN.ARTC.SC,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
98,2017,214.24,IP.JRN.ARTC.SC,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
99,2018,293.91,IP.JRN.ARTC.SC,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
100,2015,2558.33,IP.JRN.ARTC.SC,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
101,2016,2557.01,IP.JRN.ARTC.SC,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
102,2017,2808.03,IP.JRN.ARTC.SC,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
103,2018,3311.27,IP.JRN.ARTC.SC,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
104,2015,229.5,IP.JRN.ARTC.SC,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
105,2016,220.41,IP.JRN.ARTC.SC,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
106,2017,216.88,IP.JRN.ARTC.SC,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
107,2018,251.99,IP.JRN.ARTC.SC,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
108,2015,13.44,IP.JRN.ARTC.SC,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
109,2016,13.72,IP.JRN.ARTC.SC,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
110,2017,13.19,IP.JRN.ARTC.SC,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
111,2018,21.12,IP.JRN.ARTC.SC,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
112,2015,10.55,IP.JRN.ARTC.SC,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
113,2016,8.14,IP.JRN.ARTC.SC,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
114,2017,14.98,IP.JRN.ARTC.SC,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
115,2018,8.69,IP.JRN.ARTC.SC,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
116,2015,109.36,IP.JRN.ARTC.SC,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
117,2016,120.62,IP.JRN.ARTC.SC,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
118,2017,120.26,IP.JRN.ARTC.SC,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
119,2018,145.74,IP.JRN.ARTC.SC,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
120,2015,638.47,IP.JRN.ARTC.SC,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
121,2016,699.72,IP.JRN.ARTC.SC,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
122,2017,800.58,IP.JRN.ARTC.SC,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
123,2018,875.62,IP.JRN.ARTC.SC,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
124,2015,60533.24,IP.JRN.ARTC.SC,CAN,Canada,North America,High income,Not classified
125,2016,60045.0,IP.JRN.ARTC.SC,CAN,Canada,North America,High income,Not classified
126,2017,60214.84,IP.JRN.ARTC.SC,CAN,Canada,North America,High income,Not classified
127,2018,59967.79,IP.JRN.ARTC.SC,CAN,Canada,North America,High income,Not classified
128,2015,13.65,IP.JRN.ARTC.SC,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
129,2016,27.88,IP.JRN.ARTC.SC,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
130,2017,18.96,IP.JRN.ARTC.SC,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
131,2018,20.47,IP.JRN.ARTC.SC,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
132,2015,12.36,IP.JRN.ARTC.SC,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
133,2016,12.07,IP.JRN.ARTC.SC,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
134,2017,16.35,IP.JRN.ARTC.SC,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
135,2018,15.45,IP.JRN.ARTC.SC,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
136,2015,6037.51,IP.JRN.ARTC.SC,CHL,Chile,Latin America & Caribbean ,High income,IBRD
137,2016,6639.23,IP.JRN.ARTC.SC,CHL,Chile,Latin America & Caribbean ,High income,IBRD
138,2017,6791.32,IP.JRN.ARTC.SC,CHL,Chile,Latin America & Caribbean ,High income,IBRD
139,2018,7121.74,IP.JRN.ARTC.SC,CHL,Chile,Latin America & Caribbean ,High income,IBRD
140,2015,407974.61,IP.JRN.ARTC.SC,CHN,China,East Asia & Pacific,Upper middle income,IBRD
141,2016,438348.74,IP.JRN.ARTC.SC,CHN,China,East Asia & Pacific,Upper middle income,IBRD
142,2017,473438.51,IP.JRN.ARTC.SC,CHN,China,East Asia & Pacific,Upper middle income,IBRD
143,2018,528263.25,IP.JRN.ARTC.SC,CHN,China,East Asia & Pacific,Upper middle income,IBRD
144,2015,5409.93,IP.JRN.ARTC.SC,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
145,2016,6292.29,IP.JRN.ARTC.SC,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
146,2017,6681.57,IP.JRN.ARTC.SC,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
147,2018,7195.02,IP.JRN.ARTC.SC,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
148,2015,2.49,IP.JRN.ARTC.SC,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
149,2016,4.84,IP.JRN.ARTC.SC,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
150,2017,3.84,IP.JRN.ARTC.SC,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
151,2018,3.2800000000000002,IP.JRN.ARTC.SC,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
152,2015,124.13,IP.JRN.ARTC.SC,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
153,2016,109.19,IP.JRN.ARTC.SC,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
154,2017,135.94,IP.JRN.ARTC.SC,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
155,2018,148.72,IP.JRN.ARTC.SC,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
156,2015,69.35,IP.JRN.ARTC.SC,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
157,2016,79.25,IP.JRN.ARTC.SC,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
158,2017,74.33,IP.JRN.ARTC.SC,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
159,2018,66.68,IP.JRN.ARTC.SC,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
160,2015,361.64,IP.JRN.ARTC.SC,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
161,2016,388.92,IP.JRN.ARTC.SC,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
162,2017,496.72,IP.JRN.ARTC.SC,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
163,2018,507.41,IP.JRN.ARTC.SC,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
164,2015,191.85,IP.JRN.ARTC.SC,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
165,2016,170.87,IP.JRN.ARTC.SC,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
166,2017,197.66,IP.JRN.ARTC.SC,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
167,2018,248.14,IP.JRN.ARTC.SC,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
168,2015,4050.72,IP.JRN.ARTC.SC,HRV,Croatia,Europe & Central Asia,High income,IBRD
169,2016,3966.92,IP.JRN.ARTC.SC,HRV,Croatia,Europe & Central Asia,High income,IBRD
170,2017,4227.47,IP.JRN.ARTC.SC,HRV,Croatia,Europe & Central Asia,High income,IBRD
171,2018,4276.9,IP.JRN.ARTC.SC,HRV,Croatia,Europe & Central Asia,High income,IBRD
172,2015,1324.8,IP.JRN.ARTC.SC,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
173,2016,1125.62,IP.JRN.ARTC.SC,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
174,2017,1117.6,IP.JRN.ARTC.SC,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
175,2018,968.74,IP.JRN.ARTC.SC,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
176,2015,935.15,IP.JRN.ARTC.SC,CYP,Cyprus,Europe & Central Asia,High income,Not classified
177,2016,1059.28,IP.JRN.ARTC.SC,CYP,Cyprus,Europe & Central Asia,High income,Not classified
178,2017,1193.38,IP.JRN.ARTC.SC,CYP,Cyprus,Europe & Central Asia,High income,Not classified
179,2018,1245.42,IP.JRN.ARTC.SC,CYP,Cyprus,Europe & Central Asia,High income,Not classified
180,2015,16700.33,IP.JRN.ARTC.SC,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
181,2016,16604.51,IP.JRN.ARTC.SC,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
182,2017,16782.25,IP.JRN.ARTC.SC,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
183,2018,15576.6,IP.JRN.ARTC.SC,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
184,2015,14214.95,IP.JRN.ARTC.SC,DNK,Denmark,Europe & Central Asia,High income,Not classified
185,2016,14160.25,IP.JRN.ARTC.SC,DNK,Denmark,Europe & Central Asia,High income,Not classified
186,2017,14345.19,IP.JRN.ARTC.SC,DNK,Denmark,Europe & Central Asia,High income,Not classified
187,2018,13978.8,IP.JRN.ARTC.SC,DNK,Denmark,Europe & Central Asia,High income,Not classified
188,2015,5.71,IP.JRN.ARTC.SC,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
189,2016,4.19,IP.JRN.ARTC.SC,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
190,2017,5.13,IP.JRN.ARTC.SC,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
191,2018,6.16,IP.JRN.ARTC.SC,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
192,2015,10.87,IP.JRN.ARTC.SC,DMA,Dominica,Latin America & Caribbean ,Upper middle income,Blend
193,2016,11.8,IP.JRN.ARTC.SC,DMA,Dominica,Latin America & Caribbean ,Upper middle income,Blend
194,2017,12.5,IP.JRN.ARTC.SC,DMA,Dominica,Latin America & Caribbean ,Upper middle income,Blend
195,2018,12.6,IP.JRN.ARTC.SC,DMA,Dominica,Latin America & Caribbean ,Upper middle income,Blend
196,2015,34.62,IP.JRN.ARTC.SC,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
197,2016,34.55,IP.JRN.ARTC.SC,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
198,2017,54.06,IP.JRN.ARTC.SC,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
199,2018,49.26,IP.JRN.ARTC.SC,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
200,2015,668.72,IP.JRN.ARTC.SC,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
201,2016,1162.24,IP.JRN.ARTC.SC,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
202,2017,1604.01,IP.JRN.ARTC.SC,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
203,2018,2142.19,IP.JRN.ARTC.SC,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
204,2015,9820.47,IP.JRN.ARTC.SC,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
205,2016,11109.22,IP.JRN.ARTC.SC,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
206,2017,11392.95,IP.JRN.ARTC.SC,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
207,2018,13326.67,IP.JRN.ARTC.SC,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
208,2015,23.71,IP.JRN.ARTC.SC,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
209,2016,28.8,IP.JRN.ARTC.SC,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
210,2017,31.65,IP.JRN.ARTC.SC,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
211,2018,45.44,IP.JRN.ARTC.SC,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
212,2015,4.28,IP.JRN.ARTC.SC,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
213,2016,4.99,IP.JRN.ARTC.SC,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
214,2017,3.33,IP.JRN.ARTC.SC,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
215,2018,2.6,IP.JRN.ARTC.SC,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
216,2015,10.67,IP.JRN.ARTC.SC,ERI,Eritrea,Sub-Saharan Africa ,Low income,IDA
217,2016,8.7,IP.JRN.ARTC.SC,ERI,Eritrea,Sub-Saharan Africa ,Low income,IDA
218,2017,13.65,IP.JRN.ARTC.SC,ERI,Eritrea,Sub-Saharan Africa ,Low income,IDA
219,2018,21.37,IP.JRN.ARTC.SC,ERI,Eritrea,Sub-Saharan Africa ,Low income,IDA
220,2015,1578.23,IP.JRN.ARTC.SC,EST,Estonia,Europe & Central Asia,High income,Not classified
221,2016,1555.17,IP.JRN.ARTC.SC,EST,Estonia,Europe & Central Asia,High income,Not classified
222,2017,1559.0,IP.JRN.ARTC.SC,EST,Estonia,Europe & Central Asia,High income,Not classified
223,2018,1414.72,IP.JRN.ARTC.SC,EST,Estonia,Europe & Central Asia,High income,Not classified
224,2015,20.08,IP.JRN.ARTC.SC,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
225,2016,21.26,IP.JRN.ARTC.SC,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
226,2017,33.12,IP.JRN.ARTC.SC,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
227,2018,34.05,IP.JRN.ARTC.SC,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
228,2015,1041.68,IP.JRN.ARTC.SC,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
229,2016,1172.08,IP.JRN.ARTC.SC,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
230,2017,1657.99,IP.JRN.ARTC.SC,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
231,2018,1994.44,IP.JRN.ARTC.SC,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
232,2015,99.52,IP.JRN.ARTC.SC,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
233,2016,162.66,IP.JRN.ARTC.SC,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
234,2017,135.47,IP.JRN.ARTC.SC,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
235,2018,139.78,IP.JRN.ARTC.SC,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
236,2015,10942.46,IP.JRN.ARTC.SC,FIN,Finland,Europe & Central Asia,High income,Not classified
237,2016,11106.38,IP.JRN.ARTC.SC,FIN,Finland,Europe & Central Asia,High income,Not classified
238,2017,10768.81,IP.JRN.ARTC.SC,FIN,Finland,Europe & Central Asia,High income,Not classified
239,2018,10598.94,IP.JRN.ARTC.SC,FIN,Finland,Europe & Central Asia,High income,Not classified
240,2015,71925.79,IP.JRN.ARTC.SC,FRA,France,Europe & Central Asia,High income,Not classified
241,2016,71028.47,IP.JRN.ARTC.SC,FRA,France,Europe & Central Asia,High income,Not classified
242,2017,70100.94,IP.JRN.ARTC.SC,FRA,France,Europe & Central Asia,High income,Not classified
243,2018,66352.18,IP.JRN.ARTC.SC,FRA,France,Europe & Central Asia,High income,Not classified
244,2015,63.66,IP.JRN.ARTC.SC,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD
245,2016,60.97,IP.JRN.ARTC.SC,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD
246,2017,62.92,IP.JRN.ARTC.SC,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD
247,2018,63.78,IP.JRN.ARTC.SC,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD
248,2015,43.15,IP.JRN.ARTC.SC,GMB,"Gambia, The",Sub-Saharan Africa ,Low income,IDA
